project,id,mutant,toolASTDifferencing,toolCosine,toolStringDistance,toolVariable,toolSyntax,toolSemantic,s3tool,capgentool,correct
Cli,11,mutant-1,3.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,FALSE
Cli,11,mutant-10,11.0,0.8093074821508816,5.0,0.0,0.11920529801324503,1.0,16.80930748215088,0.0,FALSE
Cli,11,mutant-11,6.0,0.037049987137064755,1.0,0.6666666666666666,1.0,0.8333333333333334,7.037049987137065,0.5555555555555556,FALSE
Cli,11,mutant-2,3.0,0.0,0.0,1.0,1.0,0.8333333333333334,3.0,0.8333333333333334,FALSE
Cli,11,mutant-3,14.0,0.10075929195046751,4.0,0.5,1.0,0.3137254901960784,18.100759291950467,0.1568627450980392,FALSE
Cli,11,mutant-4,6.0,0.0,0.0,1.0,1.0,0.8333333333333334,6.0,0.8333333333333334,FALSE
Cli,11,mutant-5,6.0,0.0,0.0,1.0,1.0,0.8333333333333334,6.0,0.8333333333333334,FALSE
Cli,11,mutant-6,11.0,0.8093074821508816,5.0,0.0,0.11920529801324503,0.023255813953488372,16.80930748215088,0.0,FALSE
Cli,11,mutant-7,3.0,0.037049987137064755,0.0,1.0,1.0,0.8333333333333334,3.0370499871370646,0.8333333333333334,FALSE
Cli,11,mutant-8,6.0,0.0,0.0,1.0,0.8145695364238411,1.0,6.0,0.8145695364238411,FALSE
Cli,11,mutant-9,3.0,0.0,0.0,1.0,1.0,0.8333333333333334,3.0,0.8333333333333334,FALSE
Cli,13,mutant-1,3.0,0.0,0.0,1.0,0.9459459459459459,0.08,3.0,0.07567567567567568,FALSE
Cli,13,mutant-2,4.0,0.14903705660323685,1.0,0.3333333333333333,0.6481481481481481,0.10714285714285714,5.149037056603237,0.023148148148148147,FALSE
Cli,14,mutant-1,5.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,FALSE
Cli,14,mutant-2,1.0,0.0,1.0,0.5,1.0,1.0,2.0,0.5,FALSE
Cli,18,mutant-1,1.0,0.0,1.0,0.5,1.0,1.0,2.0,0.5,FALSE
Cli,18,mutant-2,6.0,0.717157287525381,3.0,0.0,0.21153846153846154,0.015384615384615385,9.717157287525382,0.0,FALSE
Cli,18,mutant-3,1.0,0.0,1.0,0.5,1.0,1.0,2.0,0.5,FALSE
Cli,18,mutant-4,1.0,0.0,1.0,0.5,1.0,1.0,2.0,0.5,FALSE
Cli,19,mutant-1,6.0,0.717157287525381,3.0,0.0,0.21153846153846154,0.014925373134328358,9.717157287525382,0.0,FALSE
Cli,19,mutant-2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Cli,19,mutant-3,2.0,0.5,1.0,0.0,1.0,0.5,3.5,0.0,FALSE
Cli,19,mutant-4,1.0,0.0,1.0,0.5,1.0,1.0,2.0,0.5,FALSE
Cli,19,mutant-5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Cli,19,mutant-6,4.0,0.3209002498982677,2.0,0.25,0.6730769230769231,0.13636363636363635,6.320900249898267,0.022945804195804196,FALSE
Cli,22,mutant-1,5.0,0.14903705660323685,1.0,0.5,0.6875,0.32142857142857145,6.149037056603237,0.11049107142857144,FALSE
Cli,22,mutant-2,9.0,0.13860263521752014,0.0,1.0,0.8809523809523809,0.5384615384615384,9.13860263521752,0.47435897435897434,FALSE
Cli,22,mutant-3,5.0,0.14903705660323685,1.0,0.5,0.6875,0.32142857142857145,6.149037056603237,0.11049107142857144,FALSE
Cli,22,mutant-4,5.0,0.14903705660323685,1.0,0.5,0.6875,0.32142857142857145,6.149037056603237,0.11049107142857144,FALSE
Cli,22,mutant-5,5.0,0.27593989300006805,6.0,0.2222222222222222,0.6875,0.2857142857142857,11.275939893000068,0.04365079365079364,FALSE
Cli,22,mutant-6,8.0,0.22697931747607425,3.0,0.25,0.1,0.037037037037037035,11.226979317476074,9.25925925925926E-4,FALSE
Cli,22,mutant-7,16.0,0.2120522365000741,0.0,1.0,0.4878048780487805,0.2,16.212052236500075,0.0975609756097561,FALSE
Cli,32,mutant-1,4.0,0.019291777394428666,2.0,0.7692307692307693,0.9132743362831859,0.8944881889763779,6.019291777394429,0.6283946977696543,FALSE
Cli,32,mutant-2,29.0,0.0,0.0,1.0,1.0,0.0,29.0,0.0,TRUE
Cli,32,mutant-3,1.0,0.0,1.0,0.7777777777777778,1.0,1.0,2.0,0.7777777777777778,FALSE
Cli,32,mutant-4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Cli,32,mutant-5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Cli,32,mutant-6,1.0,0.0,1.0,0.7777777777777778,1.0,1.0,2.0,0.7777777777777778,FALSE
Cli,32,mutant-7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Cli,37,mutant-1,4.0,0.09110674085361425,1.0,0.6,0.7816091954022989,0.6285714285714286,5.091106740853614,0.2947783251231527,FALSE
Cli,37,mutant-2,1.0,0.0,1.0,0.6,1.0,1.0,2.0,0.6,FALSE
Cli,37,mutant-3,14.0,0.06318327791597589,3.0,0.75,0.7404580152671756,0.5283018867924528,17.063183277915975,0.29338902491718283,FALSE
Cli,37,mutant-4,20.0,0.07192901177744782,6.0,0.8,0.07475560667050028,0.11377777777777778,26.07192901177745,0.006804421442719316,FALSE
Cli,40,mutant-1,3.0,0.0,0.0,1.0,0.47674418604651164,1.0,3.0,0.47674418604651164,FALSE
Cli,40,mutant-2,4.0,0.6464466094067263,1.0,0.0,1.0,0.14285714285714285,5.646446609406726,0.0,FALSE
Cli,5,mutant-1,7.0,0.0,0.0,1.0,0.3584905660377358,0.3277310924369748,7.0,0.11748850483589661,TRUE
Cli,5,mutant-2,7.0,0.0,0.0,1.0,0.3584905660377358,0.3333333333333333,7.0,0.11949685534591194,TRUE
Cli,7,mutant-1,6.0,0.034493195347382155,1.0,0.6666666666666666,1.0,0.8461538461538461,7.034493195347382,0.5641025641025641,FALSE
Cli,7,mutant-3,3.0,0.034493195347382155,1.0,0.6666666666666666,1.0,0.8461538461538461,4.034493195347382,0.5641025641025641,FALSE
Cli,7,mutant-4,7.0,0.0,0.0,1.0,0.9271523178807947,0.625,7.0,0.5794701986754967,FALSE
Cli,7,mutant-5,7.0,0.0,0.0,1.0,0.9271523178807947,0.6041666666666666,7.0,0.5601545253863134,FALSE
Cli,7,mutant-6,40.0,0.4893640595586597,12.0,0.14285714285714285,0.0,1.0,52.48936405955866,0.0,FALSE
Cli,8,mutant-1,4.0,0.07417990022744858,1.0,0.6666666666666666,0.8431372549019608,0.6766917293233082,5.074179900227449,0.3803626713843432,FALSE
Cli,8,mutant-2,1.0,0.0,1.0,0.6666666666666666,1.0,1.0,2.0,0.6666666666666666,FALSE
Codec,15,mutant-1,5.0,0.0,0.0,1.0,0.40229885057471265,0.42857142857142855,5.0,0.17241379310344826,FALSE
Codec,15,mutant-2,1.0,0.0,1.0,0.6,1.0,1.0,2.0,0.6,FALSE
Codec,15,mutant-3,1.0,0.0,1.0,0.7142857142857143,1.0,1.0,2.0,0.7142857142857143,FALSE
Codec,15,mutant-4,1.0,0.0,1.0,0.6,1.0,0.5882352941176471,2.0,0.35294117647058826,FALSE
Codec,15,mutant-5,1.0,0.0,1.0,0.7142857142857143,1.0,1.0,2.0,0.7142857142857143,FALSE
Codec,15,mutant-6,5.0,0.0,0.0,1.0,0.6033057851239669,0.6363636363636364,5.0,0.3839218632607062,FALSE
Codec,15,mutant-7,1.0,0.0,1.0,0.7142857142857143,1.0,1.0,2.0,0.7142857142857143,FALSE
Codec,16,mutant-1,15.0,0.8475014296673953,6.0,0.0,0.045454545454545456,0.024390243902439025,21.847501429667396,0.0,FALSE
Codec,16,mutant-10,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Codec,16,mutant-11,15.0,0.8475014296673953,6.0,0.0,0.045454545454545456,0.024390243902439025,21.847501429667396,0.0,FALSE
Codec,16,mutant-2,16.0,0.14616939553578645,2.0,0.75,0.8354430379746836,0.5555555555555556,18.146169395535786,0.34810126582278483,FALSE
Codec,16,mutant-3,4.0,0.08695652173913049,0.0,1.0,1.0,0.5333333333333333,4.086956521739131,0.5333333333333333,FALSE
Codec,16,mutant-4,18.0,0.0,0.0,1.0,0.6346153846153846,0.38095238095238093,18.0,0.24175824175824173,FALSE
Codec,16,mutant-5,15.0,0.8475014296673953,6.0,0.0,0.045454545454545456,0.024390243902439025,21.847501429667396,0.0,FALSE
Codec,16,mutant-6,15.0,0.14616939553578645,2.0,0.75,0.8354430379746836,0.5555555555555556,17.146169395535786,0.34810126582278483,FALSE
Codec,16,mutant-7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Codec,16,mutant-8,4.0,0.09648363098090063,2.0,0.4,1.0,0.631578947368421,6.0964836309809005,0.25263157894736843,FALSE
Codec,16,mutant-9,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Codec,7,mutant-1,14.0,0.18337773653771472,6.0,0.625,0.5272727272727272,0.5714285714285714,20.183377736537714,0.1883116883116883,TRUE
Codec,8,mutant-1,1.0,0.0,0.0,1.0,1.0,0.7692307692307693,1.0,0.7692307692307693,FALSE
Codec,8,mutant-10,5.0,0.08013378899220014,1.0,0.6666666666666666,1.0,0.5769230769230769,6.0801337889922005,0.3846153846153846,FALSE
Codec,8,mutant-11,7.0,0.0,0.0,1.0,0.11796246648793565,0.13274336283185842,7.0,0.015658734489548982,TRUE
Codec,8,mutant-12,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Codec,8,mutant-13,8.0,0.639332146133027,3.0,0.0,0.11278195488721804,0.009523809523809525,11.639332146133027,0.0,TRUE
Codec,8,mutant-14,4.0,0.278775764663455,10.0,0.08333333333333333,1.0,1.0,14.278775764663454,0.08333333333333333,FALSE
Codec,8,mutant-2,1.0,0.0,1.0,0.5,1.0,0.8518518518518519,2.0,0.42592592592592593,FALSE
Codec,8,mutant-3,5.0,0.08013378899220014,1.0,0.6666666666666666,0.8148148148148148,0.6818181818181818,6.0801337889922005,0.37037037037037035,FALSE
Codec,8,mutant-4,1.0,0.0,1.0,0.5,1.0,1.0,2.0,0.5,FALSE
Codec,8,mutant-5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Codec,8,mutant-6,8.0,0.0,0.0,1.0,0.11278195488721804,0.009523809523809525,8.0,0.0010741138560687433,TRUE
Codec,8,mutant-7,5.0,0.0,0.0,1.0,0.8148148148148148,0.5769230769230769,5.0,0.47008547008547,FALSE
Codec,8,mutant-8,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Codec,8,mutant-9,1.0,0.0,0.0,1.0,1.0,0.8666666666666667,1.0,0.8666666666666667,FALSE
Codec,9,mutant-1,6.0,0.0,0.0,1.0,0.2682926829268293,0.07547169811320754,6.0,0.02024850437183617,FALSE
Codec,9,mutant-2,6.0,0.013606076167856251,2.0,0.4,0.2,0.40372670807453415,8.013606076167857,0.03229813664596274,FALSE
Codec,9,mutant-3,5.0,0.0,0.0,1.0,0.2647058823529412,0.1111111111111111,5.0,0.029411764705882353,FALSE
Codec,9,mutant-4,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,FALSE
Codec,9,mutant-5,3.0,0.1339745962155613,0.0,1.0,0.46153846153846156,1.0,3.133974596215561,0.46153846153846156,FALSE
Codec,9,mutant-6,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,FALSE
Codec,9,mutant-7,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Codec,9,mutant-8,6.0,0.0,0.0,1.0,1.0,0.9047619047619048,6.0,0.9047619047619048,FALSE
Compress,14,mutant-1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FALSE
Compress,14,mutant-2,1.0,0.0,0.0,1.0,1.0,0.9122807017543859,1.0,0.9122807017543859,TRUE
Compress,16,mutant-16,7.0,0.09486639816563514,2.0,0.5,0.8882602545968883,1.0,9.094866398165635,0.44413012729844414,FALSE
Compress,16,mutant-17,35.0,0.2904337095397701,12.0,0.26666666666666666,1.0,0.2709677419354839,47.29043370953977,0.07225806451612904,FALSE
Compress,16,mutant-20,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,2.0,0.3333333333333333,FALSE
Compress,16,mutant-27,34.0,0.3299296657263783,8.0,0.36363636363636365,0.2698412698412698,1.0,42.329929665726375,0.09812409812409813,FALSE
Compress,16,mutant-29,35.0,0.2997813752484303,10.0,0.3076923076923077,1.0,1.0,45.29978137524843,0.3076923076923077,FALSE
Compress,16,mutant-39,39.0,0.0,0.0,1.0,0.2361111111111111,0.3111111111111111,39.0,0.0734567901234568,FALSE
Compress,16,mutant-40,28.0,0.30709767184426606,7.0,0.36363636363636365,0.22666666666666666,1.0,35.30709767184426,0.08242424242424243,FALSE
Compress,16,mutant-8,28.0,0.30709767184426606,7.0,0.36363636363636365,0.22666666666666666,0.25766871165644173,35.30709767184426,0.021238148354712775,FALSE
